,cohort,online,cohort_tot,cohort_grad,gradrate,type_3
0,1991.0,0.0,956956.0,497902.0,0.5202977,99.0
1,1992.0,0.0,971202.0,504449.0,0.51940686,99.0
2,1993.0,0.0,980691.0,513943.0,0.5240621,99.0
3,1994.0,0.0,977157.0,518379.0,0.53049713,99.0
4,1995.0,0.0,1018638.0,550545.0,0.5404717,99.0
5,1996.0,0.0,1100835.0,598753.0,0.54390806,99.0
6,1997.0,0.0,1128848.0,622613.0,0.5515472,99.0
7,1998.0,0.0,1182161.0,653148.0,0.5525034,99.0
8,1999.0,0.0,1210928.0,679874.0,0.56144875,99.0
9,2000.0,0.0,1243645.0,705880.0,0.56758964,99.0
10,2001.0,0.0,1266944.0,720836.0,0.5689565,99.0
11,2002.0,0.0,1296604.0,739476.0,0.57031757,99.0
12,2003.0,0.0,1333168.0,766157.0,0.57468903,99.0
13,2004.0,0.0,1346705.0,776884.0,0.57687765,99.0
14,2005.0,0.0,1365020.0,790661.0,0.57923037,99.0
15,2006.0,0.0,1402694.0,821434.0,0.5856117,99.0
16,2007.0,0.0,1439223.0,843557.0,0.5861197,99.0
17,2008.0,0.0,1477767.0,872225.0,0.5902318,99.0
18,2009.0,0.0,1490537.0,876993.0,0.58837384,99.0
19,2010.0,0.0,1492966.0,891869.0,0.59738064,99.0
