,cohort,type_3,cohort_tot,cohort_grad,gradrate,online
0,1991.0,1.0,467820.0,187832.0,0.40150484,
1,1992.0,1.0,467793.0,187891.0,0.40165415,
2,1993.0,1.0,469474.0,190480.0,0.40573066,
3,1994.0,1.0,460434.0,187095.0,0.4063449,
4,1995.0,1.0,481065.0,202880.0,0.42173097,
5,1996.0,1.0,514787.0,222968.0,0.43312672,
6,1997.0,1.0,527431.0,233943.0,0.44355187,
7,1998.0,1.0,548314.0,246453.0,0.44947422,
8,1999.0,1.0,564662.0,258295.0,0.45743296,
9,2000.0,1.0,581410.0,271267.0,0.4665675,
10,2001.0,1.0,599886.0,282022.0,0.470126,
11,2002.0,1.0,620465.0,292856.0,0.4719944,
12,2003.0,1.0,641018.0,306667.0,0.47840622,
13,2004.0,1.0,644588.0,310115.0,0.48110577,
14,2005.0,1.0,655349.0,318548.0,0.48607382,
15,2006.0,1.0,674253.0,331542.0,0.4917175,
16,2007.0,1.0,700055.0,347069.0,0.4957739,
17,2008.0,1.0,715686.0,360271.0,0.5033926,
18,2009.0,1.0,723028.0,365098.0,0.50495696,
19,2010.0,1.0,726435.0,370562.0,0.5101103,
20,1991.0,2.0,169544.0,115166.0,0.6792691,
21,1992.0,2.0,165733.0,112620.0,0.6795267,
22,1993.0,2.0,173162.0,117704.0,0.67973346,
23,1994.0,2.0,175092.0,119538.0,0.68271536,
24,1995.0,2.0,185147.0,128046.0,0.691591,
25,1996.0,2.0,188103.0,132874.0,0.7063896,
26,1997.0,2.0,194034.0,138838.0,0.7155344,
27,1998.0,2.0,200226.0,144395.0,0.7211601,
28,1999.0,2.0,205637.0,150939.0,0.734007,
29,2000.0,2.0,209223.0,154921.0,0.7404587,
30,2001.0,2.0,214060.0,159441.0,0.7448426,
31,2002.0,2.0,213962.0,161040.0,0.752657,
32,2003.0,2.0,216613.0,164579.0,0.75978357,
33,2004.0,2.0,216320.0,165851.0,0.7666929,
34,2005.0,2.0,223665.0,172275.0,0.77023673,
35,2006.0,2.0,233648.0,181879.0,0.77843165,
36,2007.0,2.0,233815.0,182710.0,0.78142977,
37,2008.0,2.0,238419.0,187787.0,0.7876344,
38,2009.0,2.0,233463.0,185127.0,0.79296076,
39,2010.0,2.0,236578.0,188181.0,0.795429,
40,1991.0,3.0,200305.0,106992.0,0.5341454,
41,1992.0,3.0,217010.0,113925.0,0.52497584,
42,1993.0,3.0,217518.0,115569.0,0.53130776,
43,1994.0,3.0,222447.0,120972.0,0.5438239,
44,1995.0,3.0,229107.0,126225.0,0.55094343,
45,1996.0,3.0,267189.0,144119.0,0.5393897,
46,1997.0,3.0,274787.0,149365.0,0.54356647,
47,1998.0,3.0,286076.0,155593.0,0.54388696,
48,1999.0,3.0,293804.0,160583.0,0.54656506,
49,2000.0,3.0,301286.0,165845.0,0.55045706,
50,2001.0,3.0,303936.0,167948.0,0.55257684,
51,2002.0,3.0,311912.0,173192.0,0.55525917,
52,2003.0,3.0,319629.0,178335.0,0.55794376,
53,2004.0,3.0,328071.0,183442.0,0.5591534,
54,2005.0,3.0,328847.0,182616.0,0.55532205,
55,2006.0,3.0,334909.0,188267.0,0.56214374,
56,2007.0,3.0,342976.0,192574.0,0.5614795,
57,2008.0,3.0,349339.0,197835.0,0.5663124,
58,2009.0,3.0,351010.0,197825.0,0.5635879,
59,2010.0,3.0,359272.0,204788.0,0.5700082,
60,1991.0,4.0,107465.0,83408.0,0.77614105,
61,1992.0,4.0,110759.0,85557.0,0.77246094,
62,1993.0,4.0,110499.0,85832.0,0.7767672,
63,1994.0,4.0,110730.0,86748.0,0.78341913,
64,1995.0,4.0,112102.0,89109.0,0.79489213,
65,1996.0,4.0,115114.0,92521.0,0.8037337,
66,1997.0,4.0,118174.0,95814.0,0.8107875,
67,1998.0,4.0,121995.0,99134.0,0.81260705,
68,1999.0,4.0,122914.0,100874.0,0.82068765,
69,2000.0,4.0,124151.0,102470.0,0.8253659,
70,2001.0,4.0,123397.0,102256.0,0.8286749,
71,2002.0,4.0,125687.0,104870.0,0.8343743,
72,2003.0,4.0,128175.0,107397.0,0.8378935,
73,2004.0,4.0,129699.0,109495.0,0.8442239,
74,2005.0,4.0,130725.0,110033.0,0.84171355,
75,2006.0,4.0,131855.0,111298.0,0.8440939,
76,2007.0,4.0,132312.0,112047.0,0.8468393,
77,2008.0,4.0,135768.0,114740.0,0.84511817,
78,2009.0,4.0,136273.0,116015.0,0.8513425,
79,2010.0,4.0,139409.0,119218.0,0.85516715,
80,1991.0,6.0,11822.0,4504.0,0.3809846,
